"NAME","Jan 2014 - Dec 2014","Apr 2014 - Mar 2015","Jul 2014 - Jun 2015","Oct 2014 - Sep 2015","Jan 2015 - Dec 2015","Apr 2015 - Mar 2016","Jul 2015 - Jun 2016","Oct 2015 - Sep 2016","Jan 2016 - Dec 2016","Apr 2016 - Mar 2017","Jul 2016 - Jun 2017","Oct 2016 - Sep 2017","Jan 2017 - Dec 2017","Apr 2017 - Mar 2018","Jul 2017 - Jun 2018","Oct 2017 - Sep 2018","Jan 2018 - Dec 2018","Apr 2018 - Mar 2019","Jul 2018 - Jun 2019","Oct 2018 - Sep 2019","Jan 2019 - Dec 2019","Apr 2019 - Mar 2020","Jul 2019 - Jun 2020","Oct 2019 - Sep 2020"
"Werrington",153567,149933,149730,158586,159702,163988,166850,169269,176748,181222,181627,184948,191634,191786,202012,198360,193779,197336,196993,205650,208063,210127,210712,211461
"West",226129,217352,218501,210091,211003,224237,230514,246023,256421,261737,252778,253737,256135,260660,269879,286431,298272,315246,313093,320143,309224,293525,296533,291082
"Wittering",199019,187645,208114,222494,218664,232463,235402,249942,271800,247346,232571,228803,225635,229169,245357,252814,249169,256886,247910,249832,261696,261459,260521,257063
"Alconbury",265924,272019,288360,279471,277739,280249,279350,300922,324327,319451,319341,330800,339038,350845,363528,368331,366439,360934,366048,354076,354492,360263,345540,355089
"Brampton",229834,237213,245958,253799,254058,261292,269695,275772,271494,267775,269145,279257,290219,309385,316105,322365,334393,331244,338445,347983,351944,356549,353242,348508
"Buckden",284503,274652,284013,289438,279689,284862,283734,300976,301605,306504,303575,305828,315803,312537,328312,318769,311379,315985,309198,295259,308474,325663,339773,363518
"Fenstanton",280045,278947,270914,266943,330634,336305,344906,345777,329333,338357,343948,347637,329992,337653,343289,343967,339620,335566,335409,347539,348387,356366,361713,349707
"Godmanchester & Hemingford Abbots",252027,257217,256037,261896,257153,258886,283072,282004,299992,308005,307375,335953,334071,336583,330692,319339,322685,321738,335906,338184,334280,343728,340844,343476
"Great Paxton",414282,410296,440283,431097,423728,430866,411892,378831,388796,405552,409805,447358,458960,486691,489669,532209,558337,511699,501757,487911,493385,472648,497485,465874
"Great Staughton",262340,262801,298778,321770,340934,348409,325652,320064,325231,339327,335118,366449,371913,375926,366766,356941,367065,363273,374297,353136,327501,362566,354838,373975
